id,name,email,phone,social,address,created_by,priority,status,preferred_communication,is_client
24,Gena Corrie,gcorrien@marketwatch.com,8848559543,https://soup.io/facilisi/cras/non/velit/nec/nisi.html,7072 Dryden Center,6,low,lost,social_media,true
25,Sibylle Pesselt,spesselto@cpanel.net,8212118827,https://abc.net.au/massa/volutpat.html,71341 Amoth Circle,6,low,contacted,email,true
26,Gaston Brudenell,gbrudenellp@i2i.jp,9443889283,http://ow.ly/libero/non/mattis/pulvinar/nulla/pede/ullamcorper.js,30063 Buhler Alley,10,high,won,mail,true
27,Mona McGhee,mmcgheeq@bloglines.com,5554959185,https://odnoklassniki.ru/amet.html,44 Heffernan Pass,2,medium,lost,phone,true
28,Sharla Yoell,syoellr@utexas.edu,4671344537,http://kickstarter.com/erat/curabitur/gravida/nisi/at/nibh/in.html,87 Elka Drive,9,low,won,email,true
29,Llywellyn Stiggles,lstiggless@de.vu,1005425660,http://sina.com.cn/consequat/nulla/nisl/nunc.xml,4 Bluejay Crossing,1,medium,new,mail,false
30,Ruth Sheppard,rsheppardt@bing.com,2811169403,https://pagesperso-orange.fr/neque/aenean/auctor.xml,54370 Hallows Trail,8,high,won,mail,false
31,Liza Martonfi,lmartonfiu@google.ru,1352112777,https://nba.com/aliquam/non/mauris.aspx,78581 Starling Hill,1,high,new,mail,true
32,Jeana Grishukov,jgrishukovv@linkedin.com,2065302848,https://altervista.org/consequat/in.jpg,98440 Mifflin Court,8,high,contacted,phone,true
33,Sandra Aiston,saistonw@fda.gov,6007217736,http://baidu.com/primis/in/faucibus/orci.png,82 Porter Circle,7,low,won,mail,true
34,Nerta Dendon,ndendonx@diigo.com,1436882642,https://cnn.com/habitasse/platea/dictumst/morbi/vestibulum/velit.html,91154 Lakeland Point,10,medium,new,mail,false
35,Ario Leagas,aleagasy@newsvine.com,4306549122,https://cnet.com/augue/aliquam/erat/volutpat/in.js,827 Pearson Crossing,7,low,won,email,true
36,Rosa Porker,rporkerz@ucsd.edu,3542562300,http://nhs.uk/amet/eleifend/pede.jsp,8830 Carberry Hill,8,medium,won,mail,false
37,Mehetabel Barthelet,mbarthelet10@discovery.com,7365776339,http://hhs.gov/dis/parturient/montes/nascetur/ridiculus/mus.json,61487 Algoma Street,6,medium,contacted,social_media,false
38,Althea Detoc,adetoc11@smugmug.com,3107558691,http://123-reg.co.uk/maecenas/tincidunt/lacus/at/velit.js,0 Elka Crossing,4,low,lost,mail,false
39,Abeu Harkes,aharkes12@upenn.edu,8484501289,https://cdbaby.com/in/hac/habitasse/platea/dictumst/aliquam.xml,1 Hoffman Terrace,3,low,contacted,phone,false
40,Stuart Ferrettini,sferrettini13@scribd.com,6569459779,https://nature.com/quis/odio/consequat/varius/integer.jsp,7 Debs Junction,2,high,won,social_media,false
41,Durward Renison,drenison14@ocn.ne.jp,6142983783,http://is.gd/purus/sit.aspx,8238 Golf Course Plaza,8,medium,new,phone,true
42,Cally Eastup,ceastup15@nasa.gov,8015943209,https://blinklist.com/odio/justo/sollicitudin/ut.jpg,1 Truax Parkway,9,low,lost,email,true
43,Nanni Quittonden,nquittonden16@icq.com,9793471037,https://pen.io/tempor/turpis/nec/euismod.png,37217 Roxbury Crossing,8,medium,won,mail,false
44,Lukas Littlechild,llittlechild17@altervista.org,9756619455,https://icio.us/neque/vestibulum/eget/vulputate/ut/ultrices.xml,9 Forest Dale Plaza,6,low,lost,mail,true
45,Andrei Baxandall,abaxandall18@tmall.com,5078682254,https://theglobeandmail.com/ipsum/primis/in/faucibus.json,031 Browning Circle,2,low,contacted,email,false
46,Vanny McCabe,vmccabe19@ucla.edu,8509320540,http://freewebs.com/penatibus/et.json,81383 Grim Street,7,low,new,mail,true
47,Nerte Rispine,nrispine1a@hhs.gov,8507568502,http://washington.edu/blandit/nam/nulla.html,78448 Oneill Parkway,6,medium,won,social_media,false
48,Skippie MacSkeaghan,smacskeaghan1b@twitpic.com,1066192689,https://sina.com.cn/lacus/morbi/sem/mauris/laoreet.html,65772 Sutteridge Avenue,10,low,contacted,phone,true
49,Sergei Bard,sbard1c@1688.com,6942283254,https://ucsd.edu/et/tempus/semper.js,71 Maryland Plaza,7,low,contacted,mail,false
50,Ellsworth Cloute,ecloute1d@youku.com,5458263270,http://cargocollective.com/lacinia/eget/tincidunt/eget/tempus/vel.jpg,06 Iowa Park,3,low,won,social_media,false
51,Dale Gotmann,dgotmann1e@washingtonpost.com,3463878253,http://gizmodo.com/integer/ac/leo/pellentesque.xml,1348 Comanche Circle,4,high,new,mail,false
52,Penelope Whiffen,pwhiffen1f@multiply.com,7025465509,https://blogtalkradio.com/aliquet/massa.jsp,036 Bashford Court,7,low,new,phone,false
53,Zebadiah Dyshart,zdyshart1g@feedburner.com,6534344649,https://nature.com/pellentesque/at/nulla.jpg,670 Esch Crossing,3,high,new,phone,false
54,Juana Evins,jevins1h@hud.gov,3293927508,https://nymag.com/in/felis/donec/semper/sapien/a/libero.png,7026 Hanson Circle,6,medium,lost,social_media,true
55,Garrott Perassi,gperassi1i@cbsnews.com,9334482906,http://topsy.com/neque/libero/convallis/eget/eleifend/luctus.json,2 Holy Cross Park,8,low,won,mail,false
56,Farlie Dongles,fdongles1j@naver.com,9559660379,http://opera.com/ornare/consequat/lectus.aspx,02 Kedzie Trail,4,low,lost,phone,true
57,Tirrell Delicate,tdelicate1k@amazon.co.jp,6388211242,https://mysql.com/id/lobortis/convallis/tortor/risus.js,5468 Briar Crest Pass,2,high,won,mail,true
58,Valaria Fishburn,vfishburn1l@multiply.com,7249322804,http://epa.gov/venenatis.jsp,82019 Cody Parkway,1,medium,new,phone,false
59,Ania Hanselman,ahanselman1m@telegraph.co.uk,7894855819,http://miibeian.gov.cn/euismod/scelerisque.xml,263 Helena Road,2,high,new,phone,true
60,Willetta Berling,wberling1n@skyrock.com,3656659637,https://moonfruit.com/risus/praesent/lectus.html,9844 Stephen Court,7,low,new,email,true
61,Bryn Sebright,bsebright1o@sciencedirect.com,8214599572,https://goo.ne.jp/convallis/eget.xml,018 Kings Trail,7,low,lost,mail,false
62,Flora Peppett,fpeppett1p@un.org,3857509562,https://digg.com/aliquam/erat/volutpat/in/congue.html,54 Rigney Plaza,8,medium,lost,email,false
63,Silvie Martinuzzi,smartinuzzi1q@instagram.com,3796723740,https://purevolume.com/non/lectus/aliquam.jsp,57 Columbus Center,1,high,lost,social_media,false
64,Iain Philliphs,iphilliphs1r@smugmug.com,2287994766,https://wisc.edu/semper/interdum/mauris/ullamcorper.xml,5 Fairfield Court,10,low,new,mail,true
65,Margalit Janaud,mjanaud1s@google.com.au,8089110223,https://mapquest.com/nam/dui/proin.xml,9798 Nevada Court,4,medium,contacted,email,true
66,Raf Goodburn,rgoodburn1t@imgur.com,5018374735,http://opera.com/quisque/erat/eros/viverra.jpg,1467 Warrior Circle,10,medium,won,social_media,true
67,Thea Jeffress,tjeffress1u@mozilla.com,1983990681,https://sogou.com/dapibus/dolor/vel.html,04583 Dunning Parkway,8,low,lost,email,false
68,Aubry Eeles,aeeles1v@umn.edu,1167968953,https://com.com/ornare/consequat.json,48268 Mariners Cove Court,4,high,new,social_media,true
69,Shana Musselwhite,smusselwhite1w@blogspot.com,4567912684,https://cbc.ca/vivamus.aspx,103 Karstens Point,2,medium,new,social_media,false
70,Lorene Attack,lattack1x@slashdot.org,5295671599,http://feedburner.com/purus/phasellus/in/felis/donec.xml,73 Arrowood Street,8,high,lost,phone,true
71,Dukie Gatesman,dgatesman1y@infoseek.co.jp,7814071644,https://yahoo.co.jp/sed/magna/at/nunc/commodo.jpg,6951 Merrick Drive,1,low,won,mail,false
72,Dugald Toyer,dtoyer1z@xinhuanet.com,9897089930,http://jugem.jp/ligula/vehicula/consequat/morbi.png,2 Meadow Ridge Trail,2,medium,contacted,mail,false
73,Bess Kobpac,bkobpac20@surveymonkey.com,8281144829,https://behance.net/accumsan/odio/curabitur/convallis/duis/consequat.png,864 Menomonie Junction,3,low,lost,mail,true
74,Woodie Pretsell,wpretsell21@bluehost.com,6257321563,https://deliciousdays.com/dui/nec/nisi/volutpat/eleifend.json,9181 Moose Court,8,high,lost,email,false
75,Edeline Tyrrell,etyrrell22@printfriendly.com,9712780761,https://google.com.au/mauris/enim/leo/rhoncus/sed/vestibulum/sit.jpg,38668 Armistice Way,6,low,won,phone,false
76,Elli Ferrarello,eferrarello23@engadget.com,4111410855,https://opensource.org/morbi/non/quam/nec/dui/luctus.png,39 Hayes Street,6,medium,contacted,phone,false
77,Kin Wais,kwais24@deviantart.com,7143966093,http://alibaba.com/nascetur/ridiculus/mus/etiam.jpg,3 Blue Bill Park Center,8,medium,won,social_media,true
78,Freida Longley,flongley25@surveymonkey.com,6102821871,http://xrea.com/consectetuer/eget/rutrum.xml,890 Muir Lane,10,medium,won,social_media,false
79,Huey Hull,hhull26@ucoz.com,5971681159,https://blogs.com/lacinia/aenean.json,402 Waubesa Park,10,high,contacted,email,false
80,Elmore Kasting,ekasting27@zimbio.com,7679683466,http://multiply.com/nisl/nunc/rhoncus/dui.html,5 Elgar Street,6,high,won,phone,true
81,Brittany Puleque,bpuleque28@goo.ne.jp,9767647759,https://histats.com/sapien/non/mi/integer/ac/neque/duis.png,15 Pine View Crossing,3,high,contacted,mail,false
82,Arlyne Crysell,acrysell29@hatena.ne.jp,7558054417,https://smh.com.au/pellentesque/volutpat/dui/maecenas/tristique.png,15 Prentice Crossing,4,low,contacted,mail,false
83,Charla Ivory,civory2a@princeton.edu,5389397134,https://theatlantic.com/venenatis/tristique/fusce/congue.json,2634 Carey Avenue,3,high,contacted,phone,true
84,Marshall Radford,mradford2b@cdbaby.com,9931675296,https://techcrunch.com/volutpat/convallis/morbi.js,0 Sundown Way,9,high,new,email,true
85,Rasia Menico,rmenico2c@usda.gov,7245742685,http://cam.ac.uk/sapien/a/libero/nam/dui/proin.jpg,70 Artisan Terrace,3,low,lost,mail,false
86,Benoite Atkirk,batkirk2d@pen.io,5997724079,http://kickstarter.com/amet/sem/fusce/consequat.jsp,7 Old Shore Park,1,high,new,email,true
87,Budd Smeeton,bsmeeton2e@jigsy.com,3768412214,https://slashdot.org/orci/luctus/et/ultrices.png,5 Oneill Place,9,high,won,social_media,false
88,Roseanne McGarrie,rmcgarrie2f@elpais.com,1718841759,https://ocn.ne.jp/nascetur.jpg,0 New Castle Alley,7,high,won,phone,false
89,Jobey Copeman,jcopeman2g@google.ru,8244637586,http://rambler.ru/rhoncus/aliquam.jpg,04073 Washington Avenue,6,high,new,phone,false
90,Katina Pyne,kpyne2h@163.com,6092317514,https://craigslist.org/in/faucibus/orci.xml,6245 Mesta Crossing,6,low,lost,email,true
91,Tiphani Sumpter,tsumpter2i@example.com,4432044540,https://dyndns.org/maecenas/tristique/est.json,2 Scofield Terrace,10,medium,contacted,phone,false
92,Pinchas Fosdike,pfosdike2j@eventbrite.com,5579622738,https://twitter.com/sit/amet/diam/in/magna/bibendum.jpg,61276 Autumn Leaf Hill,3,medium,won,social_media,true
93,Mechelle Stirley,mstirley2k@rambler.ru,9818307181,https://angelfire.com/eu/sapien/cursus/vestibulum/proin/eu.json,9261 Havey Plaza,6,high,new,social_media,false
94,Eddy Garwell,egarwell2l@simplemachines.org,4225760435,http://amazon.com/nunc/rhoncus/dui/vel.aspx,101 Forster Crossing,6,medium,won,mail,true
95,Karlotte Tune,ktune2m@usgs.gov,1215459403,https://slashdot.org/elit/sodales/scelerisque/mauris/sit/amet/eros.aspx,5 Texas Circle,6,high,contacted,social_media,false
96,Hermine Damsell,hdamsell2n@ning.com,3562833897,https://google.ru/purus/sit/amet.jsp,3 Brown Way,2,high,lost,social_media,false
97,Delmar Tynemouth,dtynemouth2o@newyorker.com,8826652299,https://reverbnation.com/in/faucibus/orci/luctus/et.xml,20 Vermont Trail,6,low,lost,email,true
98,Ethelda Fourcade,efourcade2p@google.it,1709881509,http://nyu.edu/massa/tempor/convallis/nulla/neque/libero.aspx,5 Sauthoff Court,4,high,new,phone,false
99,Gwenni Llorens,gllorens2q@mayoclinic.com,6152015455,http://unc.edu/varius/integer/ac/leo/pellentesque.aspx,6546 Lillian Lane,8,low,lost,mail,false
100,Aldwin Turpie,aturpie2r@shutterfly.com,7758763559,https://e-recht24.de/erat/quisque/erat/eros/viverra/eget/congue.json,7 Bay Park,7,low,new,mail,true
