id,name,email,phone,social,address,created_by,preferred_communication,priority,status,team,is_client,description
25,Mella Langmead,mlangmeado@netvibes.com,6766953157,http://blogs.com/nibh.xml,79035 1st Way,6,phone,high,contacted,support,FALSE,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
26,Norrie Margaret,nmargaretp@yale.edu,2146369189,http://yellowbook.com/duis/at.html,12 David Court,3,social_media,low,won,marketing,FALSE,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.
27,Russ Jedrzejewski,rjedrzejewskiq@artisteer.com,2427838183,https://google.es/lectus/suspendisse/potenti.jsp,7210 Grover Plaza,6,social_media,low,lost,sales,TRUE,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
28,Obadiah Ruggiero,oruggieror@abc.net.au,5127427882,http://smugmug.com/nulla/neque/libero/convallis/eget/eleifend/luctus.js,08 2nd Pass,2,mail,high,lost,support,TRUE,Ut at dolor quis odio consequat varius.
29,Carolyn Queen,cqueens@issuu.com,5346167965,https://elegantthemes.com/primis.png,1 Golf View Circle,3,mail,high,new,sales,FALSE,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus."
30,Maridel Grigore,mgrigoret@dyndns.org,3197544900,http://stumbleupon.com/donec/diam/neque/vestibulum/eget.json,022 Everett Drive,6,email,high,new,support,TRUE,Maecenas pulvinar lobortis est.
31,Corby Willowby,cwillowbyu@last.fm,6147811056,https://theguardian.com/nunc/viverra/dapibus.png,823 Dunning Park,3,social_media,low,new,sales,TRUE,Phasellus in felis. Donec semper sapien a libero.
32,Brande Weathey,bweatheyv@domainmarket.com,9768523481,http://salon.com/sed/augue/aliquam/erat.js,747 Kim Road,2,email,high,lost,marketing,TRUE,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam."
33,Cinnamon Gulc,cgulcw@mail.ru,3429467599,https://seattletimes.com/tristique/in/tempus.json,8 Service Avenue,8,social_media,medium,contacted,support,TRUE,Curabitur at ipsum ac tellus semper interdum.
34,Colline Tolan,ctolanx@fastcompany.com,6519536278,https://livejournal.com/tortor/eu.jpg,0 Forster Trail,4,email,high,new,sales,FALSE,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
35,Tally Drissell,tdrisselly@dailymotion.com,6632519912,https://reuters.com/et/magnis/dis/parturient/montes/nascetur.jpg,430 Merchant Plaza,6,mail,high,contacted,support,FALSE,
36,Allis Senior,aseniorz@eepurl.com,1416063072,http://arstechnica.com/morbi/sem/mauris/laoreet/ut/rhoncus/aliquet.xml,4 Loomis Point,9,phone,low,new,sales,FALSE,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
37,Reinaldo Pietrzyk,rpietrzyk10@huffingtonpost.com,5325554415,https://naver.com/dignissim/vestibulum/vestibulum/ante/ipsum/primis/in.png,73221 Debs Alley,9,social_media,low,won,marketing,TRUE,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
38,Carlie Kleinhandler,ckleinhandler11@godaddy.com,5983001401,https://archive.org/ultrices/mattis/odio/donec/vitae/nisi.jpg,55 Kensington Alley,4,phone,medium,lost,sales,FALSE,
39,Burt Mawd,bmawd12@baidu.com,6434420517,https://uiuc.edu/vel/accumsan/tellus.html,2 Monica Circle,6,social_media,medium,lost,sales,TRUE,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
40,Christal Ashbey,cashbey13@freewebs.com,3712137524,http://reference.com/potenti/in/eleifend/quam.png,7 Moulton Way,8,social_media,medium,contacted,marketing,FALSE,
41,Roarke Fagence,rfagence14@si.edu,2872711608,https://vinaora.com/morbi/non/quam/nec/dui.aspx,3501 Loeprich Parkway,7,mail,low,new,sales,FALSE,Vivamus vestibulum sagittis sapien.
42,Ketti Kingsworth,kkingsworth15@de.vu,4133972535,http://netvibes.com/nunc/commodo/placerat/praesent.json,1 Stoughton Road,6,phone,medium,won,support,FALSE,Donec posuere metus vitae ipsum.
43,Hope Mulvany,hmulvany16@unicef.org,1922079774,https://free.fr/erat/curabitur/gravida/nisi.png,48641 Golden Leaf Hill,7,mail,medium,new,marketing,TRUE,
44,Garrick Quick,gquick17@ucsd.edu,6222872895,https://indiatimes.com/mi/pede/malesuada/in.jpg,35287 Dorton Road,9,phone,low,lost,sales,TRUE,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
45,Ephraim Record,erecord18@gnu.org,7521548017,http://amazonaws.com/in/faucibus/orci/luctus/et.jpg,97405 Boyd Plaza,2,social_media,low,won,sales,FALSE,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
46,Carlota Beazleigh,cbeazleigh19@tiny.cc,1864753338,http://parallels.com/sit.json,666 Buena Vista Court,8,phone,medium,contacted,marketing,TRUE,Donec dapibus. Duis at velit eu est congue elementum.
47,Ram McGuigan,rmcguigan1a@github.io,6149602036,http://nyu.edu/in/faucibus/orci/luctus/et.jsp,027 Melby Alley,7,social_media,low,won,marketing,TRUE,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
48,Robby Schutter,rschutter1b@nifty.com,8134368485,https://naver.com/laoreet/ut/rhoncus/aliquet/pulvinar/sed.jpg,861 Buena Vista Avenue,6,mail,medium,contacted,sales,FALSE,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
49,Rossie Tuxsell,rtuxsell1c@businesswire.com,7411749444,http://is.gd/lobortis/convallis/tortor/risus/dapibus.png,13 Darwin Court,4,mail,low,lost,marketing,TRUE,
50,Trumann Exon,texon1d@utexas.edu,4182042281,http://prlog.org/hac/habitasse/platea/dictumst.jsp,69 Division Park,9,email,high,won,marketing,TRUE,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.
51,Stanislaus Clink,sclink1e@elegantthemes.com,3521823651,http://geocities.jp/nisl/duis/bibendum/felis/sed/interdum/venenatis.jsp,1414 Packers Crossing,10,email,low,lost,support,TRUE,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
52,Jacquie Molan,jmolan1f@163.com,5696324331,https://columbia.edu/libero/rutrum.jpg,44225 Lawn Terrace,1,mail,low,won,support,TRUE,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
53,Sigvard Rohlfing,srohlfing1g@ucsd.edu,2453201111,http://columbia.edu/pede.png,64 Upham Place,8,email,medium,won,support,TRUE,Nunc purus. Phasellus in felis. Donec semper sapien a libero.
54,Burl Lehrle,blehrle1h@trellian.com,2558739180,http://mapquest.com/a/odio/in/hac/habitasse/platea.png,2 Oxford Plaza,4,email,high,won,sales,TRUE,
55,Jerrilyn Ewbank,jewbank1i@ted.com,6938614805,http://over-blog.com/lectus/suspendisse/potenti/in/eleifend.aspx,5361 Ludington Trail,7,phone,low,lost,marketing,FALSE,
56,Ezra Sieve,esieve1j@marketwatch.com,3792563392,http://mysql.com/leo/pellentesque/ultrices.jpg,2 Oak Terrace,9,social_media,low,new,sales,FALSE,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
57,Elvis Rilton,erilton1k@macromedia.com,3309118352,http://ucla.edu/dui/nec.jpg,2 Harbort Trail,8,mail,medium,lost,sales,TRUE,Suspendisse potenti.
58,Codee Mc Combe,cmc1l@geocities.com,4988425478,http://cornell.edu/maecenas/pulvinar/lobortis/est/phasellus.xml,9 Butternut Pass,6,email,low,contacted,sales,TRUE,
59,Jude Thornborrow,jthornborrow1m@spiegel.de,7294978887,https://time.com/nulla.js,591 Lighthouse Bay Alley,4,email,low,won,sales,FALSE,Phasellus in felis. Donec semper sapien a libero. Nam dui.
60,Gene Jeacop,gjeacop1n@cnet.com,8418182105,https://stumbleupon.com/magna/bibendum/imperdiet/nullam/orci.xml,136 Gerald Road,6,email,medium,won,support,FALSE,Curabitur gravida nisi at nibh.
61,Gerick Calterone,gcalterone1o@themeforest.net,9634996776,http://zimbio.com/elementum/eu/interdum/eu/tincidunt.jpg,5249 Arrowood Court,10,social_media,medium,new,support,TRUE,
62,Gabriela Pahl,gpahl1p@is.gd,4706248702,https://yahoo.com/habitasse/platea/dictumst/maecenas/ut.png,7897 Calypso Avenue,10,social_media,high,lost,sales,FALSE,
63,Salomi Dalgarno,sdalgarno1q@myspace.com,7438413772,https://hexun.com/tellus.jsp,48 Lakewood Gardens Crossing,10,social_media,high,won,sales,TRUE,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
64,Antone Levison,alevison1r@dyndns.org,5733891591,http://devhub.com/aliquet.jpg,05 Chive Street,7,social_media,medium,new,support,FALSE,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
65,Beverly Chue,bchue1s@sohu.com,6408919061,http://forbes.com/quam/a/odio/in.json,003 Lyons Road,6,social_media,medium,won,sales,TRUE,Nunc rhoncus dui vel sem.
66,Flori Champkin,fchampkin1t@dedecms.com,9216346612,https://odnoklassniki.ru/dignissim/vestibulum/vestibulum/ante/ipsum/primis/in.xml,440 Lakeland Park,10,email,high,contacted,marketing,FALSE,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.
67,Con Andrew,candrew1u@prlog.org,9292969584,https://sitemeter.com/nonummy/maecenas/tincidunt/lacus/at/velit.png,53 Maywood Crossing,10,mail,high,new,marketing,FALSE,Maecenas rhoncus aliquam lacus.
68,Vale MacGille,vmacgille1v@indiatimes.com,1336504579,http://fotki.com/pellentesque/ultrices/mattis.aspx,1577 Morning Point,10,email,medium,lost,marketing,FALSE,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.
69,Natale Beauly,nbeauly1w@google.ru,2917894347,http://qq.com/venenatis/tristique/fusce/congue/diam.html,04 Prairieview Circle,6,phone,low,new,sales,TRUE,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.
70,Salim Shere,sshere1x@w3.org,7599106187,https://un.org/dolor/sit/amet/consectetuer.jsp,490 Barby Street,7,social_media,medium,new,marketing,TRUE,Aliquam quis turpis eget elit sodales scelerisque.
71,Blake O'Fihillie,bofihillie1y@scientificamerican.com,2187030820,https://themeforest.net/praesent.aspx,54 Daystar Alley,2,mail,medium,won,support,FALSE,Nulla suscipit ligula in lacus.
72,Rozanne Harken,rharken1z@mit.edu,6824576119,http://storify.com/dapibus.html,5 Schurz Avenue,1,phone,medium,won,marketing,FALSE,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
73,Nicolai Sangar,nsangar20@umich.edu,2461542646,https://t.co/eros.json,66 Grasskamp Street,7,mail,low,new,support,FALSE,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
74,Virge Dacombe,vdacombe21@shutterfly.com,2885596205,http://vistaprint.com/nulla/quisque.html,6 Bay Drive,2,mail,medium,won,marketing,FALSE,Donec semper sapien a libero.
75,Arlene Partington,apartington22@toplist.cz,3187233135,https://spotify.com/lectus/in/est/risus.xml,3200 Bultman Junction,6,mail,medium,won,marketing,FALSE,Phasellus sit amet erat.
76,Lyndsey Gerardeaux,lgerardeaux23@huffingtonpost.com,3429897502,https://aboutads.info/lobortis/sapien.xml,673 Talisman Court,2,email,medium,won,sales,FALSE,Duis bibendum.
77,Dianna Dubbin,ddubbin24@hud.gov,3755766599,https://businessinsider.com/elementum/nullam/varius/nulla/facilisi/cras.png,4321 Cherokee Parkway,8,phone,medium,lost,sales,FALSE,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
78,Otho Pratley,opratley25@imdb.com,9982163971,http://sakura.ne.jp/dapibus/duis/at/velit/eu.aspx,8250 Corry Trail,2,mail,medium,won,sales,TRUE,Duis mattis egestas metus. Aenean fermentum.
79,Muire Robecon,mrobecon26@sitemeter.com,3795087313,http://yandex.ru/quis/odio.jpg,7 Arrowood Road,4,email,low,contacted,support,TRUE,Fusce consequat. Nulla nisl.
80,Gael MacMarcuis,gmacmarcuis27@pagesperso-orange.fr,6093861669,http://qq.com/eget/orci/vehicula/condimentum/curabitur/in/libero.aspx,6306 Green Court,9,phone,high,contacted,sales,TRUE,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
81,Adelheid Antushev,aantushev28@4shared.com,3193691537,http://xinhuanet.com/massa/id/nisl.xml,89640 Caliangt Avenue,8,mail,low,lost,marketing,TRUE,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
82,Darell Dunlop,ddunlop29@noaa.gov,6482661767,https://nydailynews.com/quis/orci/eget.aspx,807 1st Point,2,phone,high,lost,support,FALSE,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
83,Darbie Held,dheld2a@indiatimes.com,1361936377,https://vistaprint.com/vestibulum/ante/ipsum/primis.xml,28194 Arrowood Parkway,3,mail,low,contacted,support,FALSE,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
84,Rickert Chazette,rchazette2b@google.pl,3386069595,http://fda.gov/phasellus/in/felis/donec/semper/sapien/a.aspx,832 Sutteridge Trail,6,mail,medium,lost,support,TRUE,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
85,Ruben Steanyng,rsteanyng2c@surveymonkey.com,4819808009,http://buzzfeed.com/ligula/suspendisse.jsp,80590 Morning Circle,1,social_media,low,contacted,marketing,TRUE,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
86,Noe Wastling,nwastling2d@stanford.edu,6688239861,https://dailymail.co.uk/elit/sodales/scelerisque/mauris/sit/amet.jpg,906 Lunder Drive,2,phone,high,new,support,TRUE,
87,Reid MacComiskey,rmaccomiskey2e@fastcompany.com,6759493972,https://soundcloud.com/sapien/in/sapien/iaculis/congue.png,40795 Valley Edge Center,9,phone,medium,new,support,TRUE,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
88,Chevy Kipling,ckipling2f@goodreads.com,5523561672,http://twitter.com/orci.xml,52 Summer Ridge Alley,2,social_media,high,lost,marketing,FALSE,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
89,Milka Gayther,mgayther2g@goo.gl,6477291727,http://sohu.com/nec/dui/luctus/rutrum/nulla/tellus.png,2 Loeprich Parkway,2,phone,medium,new,support,FALSE,Pellentesque eget nunc.
90,Xaviera Hayton,xhayton2h@unesco.org,3605036189,http://cmu.edu/eu/massa/donec/dapibus/duis/at.xml,71447 Havey Junction,2,mail,low,contacted,marketing,TRUE,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
91,Langsdon Marrion,lmarrion2i@twitpic.com,6234713331,https://addthis.com/commodo/vulputate.png,8 Meadow Ridge Plaza,4,mail,low,contacted,support,TRUE,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy."
92,Clem Atwill,catwill2j@ft.com,6255712720,http://wufoo.com/cras/pellentesque/volutpat/dui.jpg,88930 Kinsman Park,9,mail,medium,new,marketing,FALSE,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
93,Enrika Meininger,emeininger2k@surveymonkey.com,6716292815,http://sourceforge.net/justo/aliquam/quis/turpis/eget.js,2 Buena Vista Court,2,mail,medium,won,marketing,FALSE,Donec semper sapien a libero.
94,Iggie Buff,ibuff2l@google.fr,6188720759,https://mac.com/augue/quam/sollicitudin/vitae.json,2785 Old Gate Plaza,10,mail,low,won,marketing,TRUE,Nullam porttitor lacus at turpis.
95,Penny Pridham,ppridham2m@hugedomains.com,4125015007,https://nifty.com/id/turpis/integer/aliquet.xml,8438 Buell Road,9,social_media,medium,won,sales,FALSE,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est."
96,Katherine Lamberteschi,klamberteschi2n@spotify.com,5427277548,https://stumbleupon.com/orci.js,37 Fordem Parkway,6,mail,low,lost,sales,FALSE,Nulla tellus. In sagittis dui vel nisl.
97,Harris Hedney,hhedney2o@omniture.com,6091330772,https://berkeley.edu/congue/elementum/in/hac/habitasse/platea/dictumst.xml,85907 Summerview Way,3,social_media,low,won,support,FALSE,In eleifend quam a odio.
98,Una Lippini,ulippini2p@linkedin.com,7843887538,https://cbslocal.com/mauris/morbi/non/lectus/aliquam/sit.jpg,83514 Stang Plaza,10,mail,high,won,sales,TRUE,Aliquam quis turpis eget elit sodales scelerisque.
99,Bernard Jordeson,bjordeson2q@google.ca,7125346061,https://paginegialle.it/suspendisse/potenti.json,65488 Browning Point,10,mail,medium,won,marketing,TRUE,Morbi non quam nec dui luctus rutrum.
100,Faustine Prys,fprys2r@odnoklassniki.ru,2856283644,https://seesaa.net/turpis/a/pede.js,7 Esker Parkway,4,phone,medium,lost,support,TRUE,
